2025-10-19 19:50:54,468 | INFO     | genomevault.logging  | Logging configured: level=INFO,file_logging=True
2025-10-19 19:50:54,501 | WARNING  | genomevault.crypto.threshold_service | BLS signatures not available, using simulation mode
2025-10-19 19:51:02,975 | INFO     | genomevault.logging  | Logging configured: level=INFO,file_logging=True
2025-10-19 19:51:02,999 | WARNING  | genomevault.crypto.threshold_service | BLS signatures not available, using simulation mode
2025-10-19 19:51:23,662 | INFO     | genomevault.logging  | Logging configured: level=INFO,file_logging=True
2025-10-19 19:51:23,688 | WARNING  | genomevault.crypto.threshold_service | BLS signatures not available, using simulation mode
2025-10-19 19:51:26,361 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:26,971 | INFO     | genomevault.differential_encoding.chunking | Chunked chr1: 100001 chunks, 45 variants
2025-10-19 19:51:28,523 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:29,126 | INFO     | genomevault.differential_encoding.chunking | Chunked chr10: 100001 chunks, 45 variants
2025-10-19 19:51:30,747 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:31,343 | INFO     | genomevault.differential_encoding.chunking | Chunked chr11: 100001 chunks, 45 variants
2025-10-19 19:51:32,928 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:33,519 | INFO     | genomevault.differential_encoding.chunking | Chunked chr12: 100001 chunks, 45 variants
2025-10-19 19:51:35,108 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:35,708 | INFO     | genomevault.differential_encoding.chunking | Chunked chr13: 100001 chunks, 45 variants
2025-10-19 19:51:37,189 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:37,798 | INFO     | genomevault.differential_encoding.chunking | Chunked chr14: 100001 chunks, 45 variants
2025-10-19 19:51:39,408 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:40,002 | INFO     | genomevault.differential_encoding.chunking | Chunked chr15: 100001 chunks, 45 variants
2025-10-19 19:51:41,600 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:42,192 | INFO     | genomevault.differential_encoding.chunking | Chunked chr16: 100001 chunks, 45 variants
2025-10-19 19:51:43,653 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:44,278 | INFO     | genomevault.differential_encoding.chunking | Chunked chr17: 100001 chunks, 45 variants
2025-10-19 19:51:45,897 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:46,489 | INFO     | genomevault.differential_encoding.chunking | Chunked chr18: 100001 chunks, 45 variants
2025-10-19 19:51:47,957 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:48,570 | INFO     | genomevault.differential_encoding.chunking | Chunked chr19: 100001 chunks, 45 variants
2025-10-19 19:51:50,031 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:50,649 | INFO     | genomevault.differential_encoding.chunking | Chunked chr2: 100001 chunks, 45 variants
2025-10-19 19:51:52,307 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:52,892 | INFO     | genomevault.differential_encoding.chunking | Chunked chr20: 100001 chunks, 45 variants
2025-10-19 19:51:54,342 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:54,949 | INFO     | genomevault.differential_encoding.chunking | Chunked chr21: 100001 chunks, 45 variants
2025-10-19 19:51:56,397 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:57,006 | INFO     | genomevault.differential_encoding.chunking | Chunked chr22: 100001 chunks, 45 variants
2025-10-19 19:51:58,716 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:51:59,310 | INFO     | genomevault.differential_encoding.chunking | Chunked chr3: 100001 chunks, 45 variants
2025-10-19 19:52:00,773 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:52:01,381 | INFO     | genomevault.differential_encoding.chunking | Chunked chr4: 100001 chunks, 45 variants
2025-10-19 19:52:02,955 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:52:03,562 | INFO     | genomevault.differential_encoding.chunking | Chunked chr5: 100001 chunks, 45 variants
2025-10-19 19:52:05,018 | WARNING  | genomevault.differential_encoding.chunking | Chunking exceeded 100k iterations, stopping
2025-10-19 19:52:05,631 | INFO     | genomevault.differential_encoding.chunking | Chunked chr6: 100001 chunks, 45 variants
